               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.016799,            0.011158,           0.0031598,             0.92236,             0.92826,             0.96882,             0.81081,             0.01567,            0.010364,           0.0052649,             0.00451,             0.00451,             0.00451
                 124,            0.016831,            0.011199,           0.0030256,             0.89752,             0.90503,             0.95577,             0.79807,            0.015896,            0.010275,           0.0067116,            0.004465,            0.004465,            0.004465
                 125,            0.016622,            0.011113,           0.0030477,             0.91046,              0.9203,             0.96163,             0.80254,            0.015661,            0.010188,           0.0052493,             0.00442,             0.00442,             0.00442
                 126,            0.016657,            0.011114,           0.0031508,             0.91919,             0.90921,             0.95819,             0.80371,            0.015576,            0.010132,           0.0053168,            0.004375,            0.004375,            0.004375
                 127,             0.01653,             0.01094,           0.0026944,             0.92867,             0.90977,             0.95872,             0.79784,            0.015805,            0.010127,           0.0052558,             0.00433,             0.00433,             0.00433
                 128,            0.016693,            0.011221,           0.0028605,               0.927,             0.90912,             0.95783,             0.79729,            0.016035,            0.010281,           0.0050271,            0.004285,            0.004285,            0.004285
                 129,            0.016405,            0.011128,           0.0027882,              0.9065,             0.91762,             0.95789,             0.80059,             0.01624,            0.010443,           0.0051516,             0.00424,             0.00424,             0.00424
                 130,            0.016491,             0.01107,           0.0027639,              0.9298,             0.91724,             0.96058,             0.80416,            0.016398,            0.010502,           0.0050156,            0.004195,            0.004195,            0.004195
                 131,             0.01638,            0.011154,           0.0028813,             0.90769,             0.92411,             0.95748,             0.79703,            0.015996,            0.010521,           0.0052241,             0.00415,             0.00415,             0.00415
                 132,             0.01668,            0.011266,           0.0029878,             0.90473,             0.90428,             0.94192,             0.78463,            0.015637,            0.010511,           0.0058335,            0.004105,            0.004105,            0.004105
                 133,            0.016245,            0.010864,           0.0029543,             0.90249,             0.88612,             0.93853,             0.78201,             0.01591,            0.010483,           0.0057483,             0.00406,             0.00406,             0.00406
                 134,            0.016433,            0.010998,           0.0025867,             0.89653,             0.90808,             0.95034,             0.79144,            0.015895,             0.01032,           0.0054148,            0.004015,            0.004015,            0.004015
                 135,            0.016196,            0.010873,           0.0028141,              0.8995,             0.90367,             0.95114,             0.79242,            0.015625,            0.010386,           0.0055226,             0.00397,             0.00397,             0.00397
                 136,            0.016049,            0.010672,           0.0029682,             0.90786,             0.91104,             0.95426,             0.79523,            0.016245,            0.010595,           0.0054052,            0.003925,            0.003925,            0.003925
                 137,            0.016395,            0.010883,           0.0027018,             0.92646,             0.90924,             0.96237,             0.80163,            0.016087,            0.010509,           0.0055449,             0.00388,             0.00388,             0.00388
                 138,            0.016334,            0.011129,           0.0026199,             0.90819,             0.90157,             0.95794,             0.79998,             0.01591,            0.010491,           0.0062098,            0.003835,            0.003835,            0.003835
                 139,            0.016429,            0.010893,           0.0024629,              0.8634,             0.91537,              0.9473,              0.7902,            0.016118,             0.01053,           0.0066756,             0.00379,             0.00379,             0.00379
                 140,            0.016095,            0.010763,           0.0025017,             0.91546,              0.9054,             0.95996,             0.80263,            0.016263,            0.010562,           0.0054299,            0.003745,            0.003745,            0.003745
                 141,            0.016085,            0.010834,           0.0024603,             0.91676,             0.90231,             0.95597,             0.80194,            0.016353,            0.010651,           0.0053408,              0.0037,              0.0037,              0.0037
                 142,            0.016229,            0.010816,           0.0025054,             0.91164,             0.93257,             0.96433,             0.80884,             0.01624,            0.010552,           0.0048188,            0.003655,            0.003655,            0.003655
                 143,            0.015891,            0.010845,           0.0024989,             0.93051,             0.90749,             0.96379,             0.80629,            0.016157,            0.010523,           0.0050307,             0.00361,             0.00361,             0.00361
                 144,            0.016209,            0.010747,           0.0023466,             0.91375,             0.93072,             0.96502,             0.80563,            0.016173,            0.010506,           0.0048681,            0.003565,            0.003565,            0.003565
                 145,            0.015952,            0.010625,            0.002455,             0.93561,             0.92977,             0.97022,             0.80967,            0.016003,            0.010594,           0.0048427,             0.00352,             0.00352,             0.00352
                 146,             0.01615,            0.010858,           0.0025357,             0.93339,             0.93297,             0.97293,             0.81478,            0.015772,            0.010565,           0.0047728,            0.003475,            0.003475,            0.003475
                 147,            0.016105,            0.010849,           0.0025143,             0.94084,             0.92482,             0.96962,             0.81086,            0.015818,            0.010515,           0.0049357,             0.00343,             0.00343,             0.00343
                 148,            0.015822,            0.010764,           0.0024273,             0.93998,             0.92573,               0.971,             0.81059,            0.015984,             0.01047,           0.0047326,            0.003385,            0.003385,            0.003385
                 149,              0.0157,            0.010633,           0.0021957,              0.9325,             0.92141,               0.966,             0.80542,            0.016194,            0.010559,           0.0048523,             0.00334,             0.00334,             0.00334
                 150,            0.015826,            0.010757,           0.0024804,             0.93936,             0.91945,             0.97033,             0.81121,            0.016023,            0.010608,           0.0048638,            0.003295,            0.003295,            0.003295
                 151,            0.015567,             0.01062,           0.0023538,             0.92312,             0.93001,             0.96948,             0.81157,            0.015978,            0.010638,           0.0048334,             0.00325,             0.00325,             0.00325
                 152,            0.015685,            0.010646,           0.0023007,             0.93662,             0.92062,             0.97345,             0.81338,            0.015877,            0.010444,           0.0047599,            0.003205,            0.003205,            0.003205
                 153,            0.015672,             0.01077,           0.0022667,             0.94732,             0.92997,             0.97445,             0.81505,            0.015921,            0.010525,           0.0046787,             0.00316,             0.00316,             0.00316
                 154,            0.015589,             0.01058,           0.0021943,             0.94206,             0.92386,             0.97197,             0.81505,            0.015766,            0.010475,            0.004712,            0.003115,            0.003115,            0.003115
                 155,            0.015385,            0.010583,           0.0022581,             0.93945,             0.92009,             0.97046,             0.81469,            0.015852,             0.01068,           0.0047126,             0.00307,             0.00307,             0.00307
                 156,            0.015533,            0.010549,           0.0019791,             0.94124,              0.9195,             0.96885,               0.812,            0.015722,            0.010625,           0.0047872,            0.003025,            0.003025,            0.003025
                 157,            0.015318,            0.010338,            0.002193,              0.9218,             0.92335,             0.96545,              0.8091,            0.015615,            0.010551,           0.0048884,             0.00298,             0.00298,             0.00298
                 158,            0.015681,            0.010748,           0.0020722,             0.93452,             0.91361,             0.96374,             0.80703,            0.015657,            0.010604,           0.0049236,            0.002935,            0.002935,            0.002935
                 159,            0.015443,            0.010496,           0.0023252,             0.93727,             0.91154,               0.965,             0.80627,            0.015796,            0.010676,           0.0047862,             0.00289,             0.00289,             0.00289
                 160,            0.015485,            0.010283,           0.0020569,              0.9173,             0.93903,             0.96863,             0.80899,            0.015804,            0.010661,           0.0046574,            0.002845,            0.002845,            0.002845
